f,T0,R1,Cma,Cmb
2_07_O_p000_050_T06_Probe_1_(A1128).csv,6,50,1.6,0
2_07_O_p000_100_T06_Probe_1_(A1128).csv,6,100,1.6,0
2_07_O_p000_200_T06_Probe_1_(A1128).csv,6,200,1.6,0
2_07_O_p000_300_T06_Probe_1_(A1128).csv,6,300,1.58,0.02
2_07_O_p000_400_T06_Probe_1_(A1128).csv,6,400,1.48,0.24
2_07_O_p000_500_T06_Probe_1_(A1128).csv,6,500,1.46,1.1
2_07_O_p000_600_T06_Probe_1_(A1128).csv,6,600,1.56,0.78
2_07_O_p000_700_T06_Probe_1_(A1128).csv,6,700,1.58,1.02
2_07_O_p000_100_T09_Probe_1_(A1128).csv,9,100,2.58,0.32
2_07_O_p000_200_T09_Probe_1_(A1128).csv,9,200,1.48,0.28
2_07_O_p000_300_T09_Probe_1_(A1128).csv,9,300,1.58,0.26
2_07_O_p000_400_T09_Probe_1_(A1128).csv,9,400,1.9,0.26
2_07_O_p000_500_T09_Probe_1_(A1128).csv,9,500,2.1,0.2
2_07_O_p000_600_T09_Probe_1_(A1128).csv,9,600,2.34,0.16
2_07_O_p000_700_T09_Probe_1_(A1128).csv,9,700,2.38,0.12
2_07_O_p000_100_T12_Probe_1_(A1128).csv,12,100,1.9,0.3
2_07_O_p000_200_T12_Probe_1_(A1128).csv,12,200,1.2,0.5
2_07_O_p000_300_T12_Probe_1_(A1128).csv,12,300,1.58,0.38
2_07_O_p000_400_T12_Probe_1_(A1128).csv,12,400,2.24,0
2_07_O_p000_500_T12_Probe_1_(A1128).csv,12,500,2.34,0
2_07_O_p000_600_T12_Probe_1_(A1128).csv,12,600,2.64,0
2_07_O_p000_700_T12_Probe_1_(A1128).csv,12,700,2.66,0
